date,CE01ISSM,CE02SHSM,CE07SHSM,CP03ISSM,GA01SUMO,GI03FLMA
2015-03-07 14:00:00,NaN,NaN,NaN,NaN,NaN,34.9181
2015-03-07 15:00:00,NaN,NaN,NaN,NaN,NaN,34.9181
2015-03-07 16:00:00,NaN,NaN,NaN,NaN,NaN,34.9177
2015-03-07 17:00:00,NaN,NaN,NaN,NaN,NaN,34.9175
2015-03-07 18:00:00,NaN,NaN,NaN,NaN,NaN,34.9188
2015-03-07 19:00:00,NaN,NaN,NaN,NaN,NaN,34.9193
2015-03-07 20:00:00,NaN,NaN,NaN,NaN,NaN,34.9172
2015-03-07 21:00:00,NaN,NaN,NaN,NaN,NaN,34.916
2015-03-07 22:00:00,NaN,NaN,NaN,NaN,NaN,34.9158
2015-03-07 23:00:00,NaN,NaN,NaN,NaN,NaN,34.9171
2015-03-08 00:00:00,NaN,NaN,NaN,NaN,NaN,34.9163
2015-03-08 01:00:00,NaN,NaN,NaN,NaN,NaN,34.9153
2015-03-08 02:00:00,NaN,NaN,NaN,NaN,NaN,34.9188
2015-03-08 03:00:00,NaN,NaN,NaN,NaN,NaN,34.9182
2015-03-08 04:00:00,NaN,NaN,NaN,NaN,NaN,34.9188
2015-03-08 05:00:00,NaN,NaN,NaN,NaN,NaN,34.9164
2015-03-08 06:00:00,NaN,NaN,NaN,NaN,NaN,34.9187
2015-03-08 07:00:00,NaN,NaN,NaN,NaN,NaN,34.9184
2015-03-08 08:00:00,NaN,NaN,NaN,NaN,NaN,34.9166
2015-03-08 09:00:00,NaN,NaN,NaN,NaN,NaN,34.917
2015-03-08 10:00:00,NaN,NaN,NaN,NaN,NaN,34.9168
2015-03-08 11:00:00,NaN,NaN,NaN,NaN,NaN,34.9146
2015-03-08 12:00:00,NaN,NaN,NaN,NaN,NaN,34.9089
2015-03-08 13:00:00,NaN,NaN,NaN,NaN,NaN,34.9128
2015-03-08 14:00:00,NaN,NaN,NaN,NaN,NaN,34.9104
2015-03-08 15:00:00,NaN,NaN,NaN,NaN,NaN,34.9054
2015-03-08 16:00:00,NaN,NaN,NaN,NaN,NaN,34.9018
2015-03-08 17:00:00,NaN,NaN,NaN,NaN,NaN,34.8968
2015-03-08 18:00:00,NaN,NaN,NaN,NaN,NaN,34.8973
2015-03-08 19:00:00,NaN,NaN,NaN,NaN,NaN,34.8945
2015-03-08 20:00:00,NaN,NaN,NaN,NaN,NaN,34.8962
2015-03-08 21:00:00,NaN,NaN,NaN,NaN,NaN,34.8976
2015-03-08 22:00:00,NaN,NaN,NaN,NaN,NaN,34.8966
2015-03-08 23:00:00,NaN,NaN,NaN,NaN,NaN,34.8971
2015-03-09 00:00:00,NaN,NaN,NaN,NaN,NaN,34.8969
2015-03-09 01:00:00,NaN,NaN,NaN,NaN,NaN,34.8972
2015-03-09 02:00:00,NaN,NaN,NaN,NaN,NaN,34.8975
2015-03-09 03:00:00,NaN,NaN,NaN,NaN,NaN,34.8992
2015-03-09 04:00:00,NaN,NaN,NaN,NaN,NaN,34.8975
2015-03-09 05:00:00,NaN,NaN,NaN,NaN,NaN,34.8984
2015-03-09 06:00:00,NaN,NaN,NaN,NaN,NaN,34.8963
2015-03-09 07:00:00,NaN,NaN,NaN,NaN,NaN,34.8966
2015-03-09 08:00:00,NaN,NaN,NaN,NaN,NaN,34.8979
2015-03-09 09:00:00,NaN,NaN,NaN,NaN,NaN,34.8958
2015-03-09 10:00:00,NaN,NaN,NaN,NaN,NaN,34.8971
