date,pCO2,pH
2015-12-29 21:00:00,318.568,8.06632
2015-12-29 22:00:00,318.833,8.08117
2015-12-29 23:00:00,318.174,8.07038
2015-12-30 00:00:00,317.774,8.05376
2015-12-30 01:00:00,320.04,8.06835
2015-12-30 02:00:00,320.434,8.04162
2015-12-30 03:00:00,321.182,8.05732
2015-12-30 04:00:00,320.217,8.03948
2015-12-30 05:00:00,322.847,8.05318
2015-12-30 06:00:00,319.636,8.03305
2015-12-30 07:00:00,318.552,8.06173
2015-12-30 08:00:00,317.755,8.04984
2015-12-30 09:00:00,319.025,8.04462
2015-12-30 10:00:00,320.256,8.06983
2015-12-30 11:00:00,321.901,8.07079
2015-12-30 12:00:00,318.996,8.06488
2015-12-30 13:00:00,319.951,8.07102
2015-12-30 14:00:00,323.349,8.05396
2015-12-30 15:00:00,318.848,8.05571
2015-12-30 16:00:00,317.961,8.05918
2015-12-30 17:00:00,318.267,8.05527
2015-12-30 18:00:00,317.558,8.05765
2015-12-30 19:00:00,316.236,8.03037
2015-12-30 20:00:00,316.865,8.0465
2015-12-30 21:00:00,319.02,8.0593
2015-12-30 22:00:00,317.472,8.05719
2015-12-30 23:00:00,321.561,8.06085
2015-12-31 00:00:00,319.117,8.07131
2015-12-31 01:00:00,319.022,8.05661
2015-12-31 02:00:00,317.995,8.07176
2015-12-31 03:00:00,317.763,8.06823
2015-12-31 04:00:00,317.638,8.04892
2015-12-31 05:00:00,317.758,8.06643
2015-12-31 06:00:00,316.49,8.0808
2015-12-31 07:00:00,316.355,8.05903
2015-12-31 08:00:00,319.899,8.07783
2015-12-31 09:00:00,318.583,8.06817
2015-12-31 10:00:00,318.23,8.06536
2015-12-31 11:00:00,316.403,8.06497
2015-12-31 12:00:00,317.739,8.06818
2015-12-31 13:00:00,317.244,8.06927
2015-12-31 14:00:00,317.493,8.06883
2015-12-31 15:00:00,315.643,8.0532
2015-12-31 16:00:00,315.208,8.06949
2015-12-31 17:00:00,318.896,8.06234
2015-12-31 18:00:00,315.769,8.03942
2015-12-31 19:00:00,316.215,8.05183
2015-12-31 20:00:00,316.611,8.02129
2015-12-31 21:00:00,318.95,8.05985
2015-12-31 22:00:00,317.031,8.06396
2015-12-31 23:00:00,315.606,8.05045
2016-01-01 00:00:00,314.831,8.06612
2016-01-01 01:00:00,315.792,8.07866
2016-01-01 02:00:00,319.954,8.05524
2016-01-01 03:00:00,313.929,8.06548
2016-01-01 04:00:00,314.89,8.04445
2016-01-01 05:00:00,316.064,8.06552
2016-01-01 06:00:00,317.599,8.08309
2016-01-01 07:00:00,317.949,8.06702
