date,Coastal Endurance,Coastal Pioneer,Global Irminger Sea,Global Station Papa
2015-09-17 04:00:00,4.7069,NaN,1.452,2.1417
2015-09-17 05:00:00,7.4657,NaN,1.3794,1.7666
2015-09-17 06:00:00,3.7994,NaN,1.5004,1.4883
2015-09-17 07:00:00,3.6058,NaN,1.5609,2.3474
2015-09-17 08:00:00,3.2912,NaN,1.4399,2.3837
2015-09-17 09:00:00,3.5574,NaN,1.5004,2.1175
2015-09-17 10:00:00,3.1097,NaN,1.4157,1.8876
2015-09-17 11:00:00,3.1218,NaN,1.2705,2.057
2015-09-17 12:00:00,3.4606,NaN,1.4399,2.0328
2015-09-17 13:00:00,4.0051,NaN,1.6335,1.8755
2015-09-17 14:00:00,4.2592,NaN,1.452,1.8029
2015-09-17 15:00:00,4.3318,NaN,1.4762,1.694
2015-09-17 16:00:00,4.4528,NaN,1.4762,1.694
2015-09-17 17:00:00,4.7553,NaN,1.452,1.6819
2015-09-17 18:00:00,5.0336,NaN,1.7182,1.6456
2015-09-17 19:00:00,5.2393,NaN,1.5609,1.3915
2015-09-17 20:00:00,4.8642,NaN,1.5004,1.5851
2015-09-17 21:00:00,3.8236,NaN,1.4641,1.6577
2015-09-17 22:00:00,4.9005,NaN,1.5004,1.5972
2015-09-17 23:00:00,5.5539,NaN,1.4883,1.5972
2015-09-18 00:00:00,5.6628,NaN,1.4641,1.815
2015-09-18 01:00:00,5.1909,NaN,1.3068,1.7182
2015-09-18 02:00:00,5.0336,NaN,1.573,1.815
2015-09-18 03:00:00,3.7026,NaN,1.5246,2.1296
2015-09-18 04:00:00,3.4001,NaN,1.4278,2.0933
2015-09-18 05:00:00,3.2912,NaN,1.21,2.2022
2015-09-18 06:00:00,3.388,NaN,1.3068,2.3353
2015-09-18 07:00:00,2.7346,NaN,1.3552,1.9239
2015-09-18 08:00:00,3.0734,NaN,1.2705,1.8634
2015-09-18 09:00:00,3.7631,NaN,1.3189,1.7908
2015-09-18 10:00:00,3.0734,NaN,1.3673,1.7908
2015-09-18 11:00:00,3.0492,NaN,1.1858,1.7182
2015-09-18 12:00:00,2.7346,NaN,1.2463,1.3068
2015-09-18 13:00:00,2.8556,NaN,1.2584,1.5246
2015-09-18 14:00:00,2.5289,NaN,1.2463,1.9965
2015-09-18 15:00:00,4.6585,NaN,1.2463,1.7424
2015-09-18 16:00:00,3.3275,NaN,1.3189,1.8392
2015-09-18 17:00:00,7.6109,NaN,1.2826,1.7303
