date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-05-07 22:00:00,1.8029,3.3872,NaN,2.6015
2015-05-07 23:00:00,1.9965,4.8034,NaN,0.968
2015-05-08 00:00:00,2.6378,5.8692,NaN,1.5004
2015-05-08 01:00:00,2.7467,5.6137,NaN,2.4684
2015-05-08 02:00:00,2.9161,6.6649,NaN,1.1616
2015-05-08 03:00:00,3.2307,5.4093,NaN,0.8954
2015-05-08 04:00:00,NaN,6.5773,NaN,0.8107
2015-05-08 05:00:00,NaN,5.5261,NaN,1.6214
2015-05-08 06:00:00,3.8599,5.402,NaN,0.726
2015-05-08 07:00:00,3.8478,5.3801,NaN,0.5808
2015-05-08 08:00:00,3.9809,5.8765,NaN,0.484
2015-05-08 09:00:00,4.0656,5.7086,NaN,0.6413
2015-05-08 10:00:00,3.7026,6.3437,NaN,0.4477
2015-05-08 11:00:00,3.9688,7.4095,NaN,0.6171
2015-05-08 12:00:00,4.5133,6.8912,NaN,0.363
2015-05-08 13:00:00,3.6421,8.0592,NaN,0.3509
2015-05-08 14:00:00,4.1019,8.249,NaN,0.2783
2015-05-08 15:00:00,4.2713,9.0739,NaN,0.2541
2015-05-08 16:00:00,4.5254,9.3951,NaN,-0.0242
2015-05-08 17:00:00,5.0941,11.0011,27.9752,0.2541
2015-05-08 18:00:00,5.1667,10.1105,0.3146,0.2299
2015-05-08 19:00:00,6.0258,7.8694,0.3025,0.2178
2015-05-08 20:00:00,6.7881,5.7524,0.363,0.242
2015-05-08 21:00:00,6.6429,4.3435,0.2783,0.5324
2015-05-08 22:00:00,6.9817,5.0443,0.3146,0.5203
2015-05-08 23:00:00,5.7475,9.6287,NaN,0.363
2015-05-09 00:00:00,4.4165,12.0596,1.0406,0.4114
2015-05-09 01:00:00,5.2756,7.5555,1.0043,0.4114
2015-05-09 02:00:00,4.9489,11.2639,1.0043,0.7139
2015-05-09 03:00:00,5.2877,10.5996,1.089,0.968
2015-05-09 04:00:00,6.05,8.6067,1.1011,0.9075
2015-05-09 05:00:00,5.7233,6.1466,1.1616,0.4961
