month,pressure_bins,seawater_temperature,practical_salinity,density
4,83,12.28,35.15,1027.02
4,85,12.37,35.18,1027.04
4,87,12.46,35.21,1027.06
4,89,12.52,35.24,1027.07
4,91,12.60,35.26,1027.09
4,93,12.65,35.28,1027.10
4,95,12.69,35.30,1027.12
4,97,12.75,35.33,1027.13
4,99,12.83,35.35,1027.15
4,101,12.84,35.36,1027.16
4,103,12.90,35.38,1027.17
4,105,12.90,35.38,1027.18
4,107,13.00,35.42,1027.20
4,109,13.03,35.43,1027.21
4,111,13.05,35.44,1027.22
4,113,13.07,35.45,1027.23
4,115,13.10,35.46,1027.25
4,117,13.13,35.48,1027.26
4,119,13.16,35.49,1027.27
4,121,13.18,35.50,1027.29
4,123,13.20,35.51,1027.30
4,125,13.25,35.53,1027.31
4,127,13.23,35.53,1027.32
4,129,13.24,35.53,1027.34
4,131,13.26,35.54,1027.35
4,133,13.27,35.56,1027.37
4,135,13.27,35.56,1027.38
4,137,13.26,35.57,1027.39
4,139,13.29,35.58,1027.40
4,141,13.29,35.58,1027.42
4,143,13.28,35.59,1027.43
4,145,13.26,35.59,1027.45
4,147,13.26,35.59,1027.46
4,149,13.28,35.61,1027.48
4,151,13.22,35.61,1027.49
4,153,13.18,35.60,1027.51
4,155,13.23,35.61,1027.52
4,157,13.18,35.61,1027.53
4,159,13.15,35.61,1027.55
4,161,13.14,35.61,1027.56
4,163,13.11,35.62,1027.58
4,165,13.08,35.61,1027.59
4,167,12.99,35.61,1027.61
4,169,13.04,35.62,1027.62
4,171,12.92,35.60,1027.64
4,173,12.90,35.60,1027.66
4,175,12.85,35.60,1027.67
4,177,12.84,35.60,1027.69
4,179,12.73,35.60,1027.71
4,181,12.64,35.59,1027.73
4,183,12.65,35.59,1027.74
4,185,12.59,35.58,1027.76
4,187,12.54,35.58,1027.77
4,189,12.41,35.57,1027.80
4,191,12.42,35.57,1027.80
4,193,12.29,35.55,1027.83
4,195,12.37,35.56,1027.83
4,197,12.29,35.56,1027.85
4,199,12.18,35.54,1027.87
4,201,12.16,35.55,1027.89
4,203,12.11,35.54,1027.89
4,205,11.87,35.51,1027.93
4,207,11.81,35.51,1027.95
4,209,11.74,35.50,1027.96
4,211,11.68,35.49,1027.98
4,213,11.62,35.49,1028.00
4,215,11.51,35.47,1028.01
4,217,11.44,35.46,1028.03
4,219,11.45,35.47,1028.04
4,221,11.30,35.45,1028.06
4,223,11.27,35.44,1028.07
4,225,11.27,35.45,1028.09
4,227,11.17,35.43,1028.10
4,229,11.19,35.44,1028.11
4,231,11.14,35.43,1028.13
4,233,11.08,35.43,1028.14
4,235,10.94,35.41,1028.16
4,237,10.95,35.41,1028.17
4,239,10.89,35.41,1028.19
4,241,10.83,35.40,1028.20
4,243,10.76,35.39,1028.22
4,245,10.70,35.38,1028.23
4,247,10.59,35.37,1028.25
4,249,10.58,35.37,1028.26
4,251,10.52,35.36,1028.28
4,253,10.44,35.36,1028.29
4,255,10.28,35.34,1028.32
4,257,10.35,35.35,1028.32
4,259,10.29,35.34,1028.33
4,261,10.23,35.33,1028.35
4,263,10.19,35.33,1028.36
4,265,10.13,35.32,1028.38
4,267,10.09,35.32,1028.39
4,269,10.02,35.31,1028.41
4,271,9.98,35.31,1028.42
4,273,9.93,35.30,1028.43
4,275,9.88,35.30,1028.45
4,277,9.82,35.29,1028.46
4,279,9.76,35.29,1028.48
4,281,9.71,35.28,1028.49
4,283,9.67,35.28,1028.51
4,285,9.62,35.27,1028.52
4,287,9.57,35.27,1028.53
4,289,9.53,35.26,1028.55
4,291,9.48,35.26,1028.56
4,293,9.43,35.26,1028.57
4,295,9.38,35.25,1028.59
4,297,9.33,35.25,1028.60
4,299,9.28,35.24,1028.62
4,301,9.23,35.24,1028.63
4,303,9.19,35.24,1028.65
4,305,9.14,35.23,1028.66
4,307,9.09,35.23,1028.68
4,309,9.04,35.23,1028.69
4,311,9.00,35.22,1028.70
4,313,8.96,35.22,1028.72
4,315,8.92,35.22,1028.73
4,317,8.87,35.21,1028.75
4,319,8.83,35.21,1028.76
4,321,8.78,35.21,1028.77
4,323,8.74,35.21,1028.79
4,325,8.69,35.20,1028.80
4,327,8.65,35.20,1028.82
4,329,8.61,35.20,1028.83
4,331,8.56,35.20,1028.84
4,333,8.52,35.19,1028.86
4,335,8.48,35.19,1028.87
4,337,8.43,35.19,1028.89
4,339,8.40,35.19,1028.90
4,341,8.36,35.18,1028.91
4,343,8.32,35.18,1028.93
4,345,8.28,35.18,1028.94
4,347,8.25,35.18,1028.95
4,349,8.21,35.18,1028.97
4,351,8.17,35.17,1028.98
4,353,8.13,35.17,1029.00
4,355,8.14,35.17,1029.00
4,357,8.05,35.17,1029.02
4,359,8.02,35.17,1029.04
4,361,7.98,35.16,1029.05
4,363,7.94,35.16,1029.06
4,365,7.90,35.16,1029.08
4,367,7.87,35.16,1029.09
4,369,7.83,35.16,1029.10
4,371,7.80,35.16,1029.12
4,373,7.76,35.15,1029.13
4,375,7.72,35.15,1029.14
4,377,7.69,35.15,1029.16
4,379,7.65,35.15,1029.17
4,381,7.61,35.15,1029.18
4,383,7.57,35.14,1029.20
4,385,7.53,35.14,1029.21
4,387,7.51,35.14,1029.22
4,389,7.48,35.14,1029.24
4,391,7.44,35.14,1029.25
4,393,7.41,35.14,1029.26
4,395,7.38,35.14,1029.27
4,397,7.35,35.13,1029.29
4,399,7.31,35.13,1029.30
4,401,7.28,35.13,1029.31
4,403,7.25,35.13,1029.33
4,405,7.22,35.13,1029.34
4,407,7.18,35.13,1029.35
4,409,7.23,35.13,1029.36
4,411,7.05,35.12,1029.38
4,413,7.18,35.11,1029.37
4,415,7.17,35.11,1029.38
4,417,7.81,35.13,1029.30
5,25,11.88,34.36,1026.21
5,27,10.98,34.06,1026.14
5,29,10.58,33.97,1026.15
5,31,10.40,34.02,1026.23
5,33,10.85,34.16,1026.27
5,35,10.98,34.23,1026.31
5,37,11.02,34.29,1026.36
5,39,11.07,34.35,1026.40
5,41,11.13,34.39,1026.43
5,43,11.14,34.40,1026.45
5,45,11.73,34.56,1026.47
5,47,11.72,34.60,1026.51
5,49,11.87,34.67,1026.56
5,51,11.38,34.57,1026.59
5,53,11.47,34.63,1026.63
5,55,11.79,34.72,1026.65
5,57,11.66,34.75,1026.71
5,59,11.69,34.78,1026.73
5,61,11.91,34.85,1026.76
5,63,11.85,34.86,1026.79
5,65,12.11,34.93,1026.81
5,67,12.30,35.02,1026.85
5,69,12.54,35.11,1026.88
5,71,12.60,35.14,1026.90
5,73,12.56,35.14,1026.92
