time,month,pressure_bin,seawater_temperature,practical_salinity,density,site
2015-04-01,4,65,13.54,34.55,1026.21,GA
2015-04-01,4,95,10.56,34.65,1027.03,GA
2015-04-01,4,105,10.82,34.73,1027.05,GA
2015-04-01,4,175,8.08,34.46,1027.63,GA
2015-04-01,4,185,7.85,34.45,1027.71,GA
2015-04-01,4,195,7.86,34.45,1027.76,GA
2015-04-01,4,205,7.68,34.44,1027.82,GA
2015-04-01,4,215,7.33,34.40,1027.88,GA
2015-04-01,4,225,7.16,34.38,1027.94,GA
2015-04-01,4,235,7.17,34.38,1027.98,GA
2015-04-01,4,245,6.60,34.32,1028.06,GA
2015-04-01,4,275,5.95,34.26,1028.24,GA
2015-04-01,4,325,5.17,34.19,1028.51,GA
2015-04-01,4,375,4.71,34.15,1028.77,GA
2015-04-01,4,425,4.41,34.14,1029.03,GA
2015-04-01,4,475,4.18,34.14,1029.29,GA
2015-04-01,4,525,3.98,34.15,1029.54,GA
2015-04-01,4,575,3.77,34.15,1029.80,GA
2015-04-01,4,625,3.58,34.16,1030.06,GA
2015-04-01,4,675,3.43,34.18,1030.33,GA
2015-04-01,4,725,3.30,34.20,1030.59,GA
2015-04-01,4,775,3.21,34.23,1030.85,GA
