date,Pacific,Atlantic
2015-05-21 12:00:00,NaN,0.9196
2015-05-21 16:00:00,NaN,0.847
2015-05-21 20:00:00,NaN,1.1616
2015-05-22 00:00:00,NaN,0.8833
2015-05-22 04:00:00,NaN,0.8349
2015-05-22 08:00:00,1.4641,0.7381
2015-05-22 12:00:00,1.4157,0.8349
2015-05-22 16:00:00,1.4641,0.8349
2015-05-22 20:00:00,1.3794,0.8954
2015-05-23 00:00:00,1.5004,0.9438
2015-05-23 04:00:00,1.4883,0.8228
2015-05-23 08:00:00,1.4883,0.9317
2015-05-23 12:00:00,NaN,0.8228
2015-05-23 16:00:00,NaN,0.9196
2015-05-23 20:00:00,1.3431,0.9559
2015-05-24 00:00:00,1.4036,0.8591
2015-05-24 04:00:00,1.4157,0.968
2015-05-24 08:00:00,1.3794,0.8712
2015-05-24 12:00:00,1.3794,0.8712
2015-05-24 16:00:00,1.3068,0.8349
2015-05-24 20:00:00,1.3673,0.8833
2015-05-25 00:00:00,1.452,0.8954
2015-05-25 04:00:00,1.452,0.847
2015-05-25 08:00:00,1.4157,0.7502
2015-05-25 12:00:00,1.4036,0.6534
2015-05-25 16:00:00,1.4036,0.726
2015-05-25 20:00:00,1.452,0.7018
2015-05-26 00:00:00,1.573,0.726
2015-05-26 04:00:00,1.573,0.6292
2015-05-26 08:00:00,1.4762,0.6776
2015-05-26 12:00:00,1.4641,0.5082
2015-05-26 16:00:00,1.4399,0.7018
2015-05-26 20:00:00,1.4641,0.6776
2015-05-27 00:00:00,1.5125,0.6171
2015-05-27 04:00:00,1.6214,0.5566
2015-05-27 08:00:00,1.5246,0.5687
2015-05-27 12:00:00,1.4883,0.484
2015-05-27 16:00:00,1.4399,0.5808
2015-05-27 20:00:00,1.4157,0.7018
2015-05-28 00:00:00,1.5246,0.605
2015-05-28 04:00:00,1.5004,0.5445
2015-05-28 08:00:00,1.5246,0.6292
2015-05-28 12:00:00,1.5125,0.605
2015-05-28 16:00:00,1.5004,0.6776
2015-05-28 20:00:00,1.4641,0.7139
2015-05-29 00:00:00,1.5004,0.6534
2015-05-29 04:00:00,1.5367,0.6534
2015-05-29 08:00:00,NaN,0.6413
2015-05-29 12:00:00,NaN,0.6292
2015-05-29 16:00:00,1.3673,0.6292
2015-05-29 20:00:00,NaN,0.6534
2015-05-30 00:00:00,NaN,0.7381
2015-05-30 04:00:00,1.5125,0.6655
2015-05-30 08:00:00,1.5125,0.6534
2015-05-30 12:00:00,1.4762,0.6534
2015-05-30 16:00:00,1.3915,0.6897
2015-05-30 20:00:00,1.4157,0.5687
2015-05-31 00:00:00,1.5125,0.6655
2015-05-31 04:00:00,1.4762,0.9075
2015-05-31 08:00:00,1.5609,0.605
2015-05-31 12:00:00,1.5851,0.6534
2015-05-31 16:00:00,1.4036,0.6655
2015-05-31 20:00:00,1.4762,0.9317
2015-06-01 00:00:00,1.6093,0.7986
2015-06-01 04:00:00,1.6093,0.7986
2015-06-01 08:00:00,1.5972,0.726
2015-06-01 12:00:00,1.5851,0.5687
2015-06-01 16:00:00,1.5367,0.6655
2015-06-01 20:00:00,NaN,0.847
2015-06-02 00:00:00,1.6456,0.7502
2015-06-02 04:00:00,1.6214,0.7018
2015-06-02 08:00:00,1.5851,0.726
2015-06-02 12:00:00,1.573,0.6776
2015-06-02 16:00:00,1.4762,0.7744
2015-06-02 20:00:00,1.4883,0.7986
2015-06-03 00:00:00,1.5851,0.7018
2015-06-03 04:00:00,NaN,0.6413
2015-06-03 08:00:00,NaN,0.7623
2015-06-03 12:00:00,NaN,0.6413
2015-06-03 16:00:00,NaN,0.6776
2015-06-03 20:00:00,NaN,0.726
2015-06-04 00:00:00,NaN,0.6413
2015-06-04 04:00:00,1.5609,0.6534
2015-06-04 08:00:00,NaN,0.6413
2015-06-04 12:00:00,1.5367,0.7139
2015-06-04 16:00:00,1.3915,0.6655
2015-06-04 20:00:00,1.5246,0.6534
2015-06-05 00:00:00,1.6214,0.5566
