date,Inshore Pacific,Offshore Pacific,Inshore Atlantic,Offshore Atlantic
2015-04-18 09:00:00,1.5972,1.3943,NaN,NaN
2015-04-18 10:00:00,1.694,1.4965,NaN,NaN
2015-04-18 11:00:00,1.6214,1.4454,NaN,NaN
2015-04-18 12:00:00,1.573,1.4527,NaN,NaN
2015-04-18 13:00:00,NaN,1.4381,NaN,NaN
2015-04-18 14:00:00,1.6456,1.4673,NaN,NaN
2015-04-18 15:00:00,1.5851,1.533,NaN,NaN
2015-04-18 16:00:00,1.7545,1.387,NaN,NaN
2015-04-18 17:00:00,1.7182,1.3432,NaN,NaN
2015-04-18 18:00:00,1.8997,1.2702,NaN,NaN
2015-04-18 19:00:00,2.178,1.1461,NaN,NaN
2015-04-18 20:00:00,NaN,1.1461,NaN,NaN
2015-04-18 21:00:00,2.299,1.168,NaN,NaN
2015-04-18 22:00:00,2.2022,1.1534,NaN,NaN
2015-04-18 23:00:00,2.2627,1.1753,NaN,NaN
2015-04-19 00:00:00,2.1175,0.949,NaN,NaN
2015-04-19 01:00:00,2.299,NaN,NaN,NaN
2015-04-19 02:00:00,2.0328,NaN,NaN,NaN
2015-04-19 03:00:00,1.9723,NaN,NaN,NaN
2015-04-19 04:00:00,1.9844,NaN,NaN,NaN
2015-04-19 05:00:00,2.0086,NaN,NaN,NaN
2015-04-19 06:00:00,2.0086,NaN,NaN,NaN
2015-04-19 07:00:00,2.1538,NaN,NaN,NaN
2015-04-19 08:00:00,2.0812,NaN,NaN,NaN
2015-04-19 09:00:00,1.936,NaN,NaN,NaN
2015-04-19 10:00:00,2.057,NaN,NaN,NaN
2015-04-19 11:00:00,1.9723,NaN,NaN,NaN
2015-04-19 12:00:00,1.8755,NaN,NaN,NaN
2015-04-19 13:00:00,2.1296,NaN,NaN,NaN
2015-04-19 14:00:00,1.6698,NaN,NaN,NaN
2015-04-19 15:00:00,1.5488,NaN,NaN,NaN
2015-04-19 16:00:00,1.6577,NaN,NaN,NaN
2015-04-19 17:00:00,1.5972,NaN,NaN,NaN
2015-04-19 18:00:00,1.9239,NaN,NaN,NaN
2015-04-19 19:00:00,1.7908,NaN,NaN,NaN
2015-04-19 20:00:00,1.9602,NaN,NaN,NaN
2015-04-19 21:00:00,1.936,NaN,NaN,NaN
2015-04-19 22:00:00,2.2143,NaN,NaN,NaN
2015-04-19 23:00:00,2.1296,NaN,NaN,NaN
2015-04-20 00:00:00,2.1538,0.8176,NaN,NaN
2015-04-20 01:00:00,2.2748,0.9198,NaN,NaN
2015-04-20 02:00:00,2.2506,1.0366,NaN,NaN
2015-04-20 03:00:00,1.9602,1.7155,NaN,NaN
2015-04-20 04:00:00,1.9239,1.6863,NaN,NaN
2015-04-20 05:00:00,1.9239,1.4089,NaN,NaN
2015-04-20 06:00:00,1.8634,1.168,NaN,NaN
2015-04-20 07:00:00,2.0207,1.0585,NaN,NaN
2015-04-20 08:00:00,2.2869,0.949,NaN,NaN
2015-04-20 09:00:00,1.9844,0.9198,NaN,NaN
2015-04-20 10:00:00,1.936,0.8614,NaN,NaN
2015-04-20 11:00:00,1.7908,0.8468,NaN,NaN
2015-04-20 12:00:00,1.8876,0.949,NaN,NaN
2015-04-20 13:00:00,1.936,0.8395,NaN,NaN
2015-04-20 14:00:00,1.9602,0.7738,NaN,NaN
2015-04-20 15:00:00,1.7424,0.7227,NaN,NaN
2015-04-20 16:00:00,1.7787,0.6205,NaN,NaN
2015-04-20 17:00:00,2.0328,0.5913,NaN,NaN
2015-04-20 18:00:00,1.9118,0.6497,NaN,NaN
2015-04-20 19:00:00,1.5851,0.584,NaN,NaN
2015-04-20 20:00:00,1.7061,1.5257,NaN,NaN
2015-04-20 21:00:00,1.6577,1.4016,NaN,NaN
2015-04-20 22:00:00,2.2506,1.3578,NaN,NaN
2015-04-20 23:00:00,2.2022,0.9344,NaN,NaN
2015-04-21 00:00:00,2.2022,1.825,NaN,NaN
2015-04-21 01:00:00,1.9844,8.4899,NaN,NaN
2015-04-21 02:00:00,2.1659,9.4316,NaN,NaN
2015-04-21 03:00:00,2.1538,8.906,NaN,NaN
2015-04-21 04:00:00,1.9481,8.7381,NaN,NaN
2015-04-21 05:00:00,1.9118,7.9862,NaN,NaN
2015-04-21 06:00:00,2.1417,10.5996,NaN,NaN
2015-04-21 07:00:00,2.057,9.5995,NaN,NaN
2015-04-21 08:00:00,1.9481,9.8915,NaN,NaN
2015-04-21 09:00:00,2.1538,9.4827,NaN,NaN
2015-04-21 10:00:00,2.0449,11.2639,NaN,NaN
2015-04-21 11:00:00,2.1417,10.0886,NaN,NaN
2015-04-21 12:00:00,2.0328,13.6145,NaN,NaN
2015-04-21 13:00:00,2.0812,10.3076,NaN,NaN
2015-04-21 14:00:00,1.9602,14.9431,NaN,NaN
2015-04-21 15:00:00,1.8513,11.2639,NaN,NaN
2015-04-21 16:00:00,1.9481,10.2127,NaN,NaN
