time,Barometric Pressure,Wind Speed,Significant Wave Height
2018-01-09T02:00:00Z,1017.732,11.143,3.37
2018-01-09T03:00:00Z,1017.625,10.248,3.43
2018-01-09T04:00:00Z,1017.323,10.333,3.6
2018-01-09T05:00:00Z,1016.516,9.172,2.6
2018-01-09T06:00:00Z,1015.973,9.143,2.7
2018-01-09T07:00:00Z,1015.956,10.391,2.81
2018-01-09T08:00:00Z,1016.004,10.102,2.46
2018-01-09T09:00:00Z,1016.194,9.594,2.57
2018-01-09T10:00:00Z,1016.435,9.62,2.99
2018-01-09T11:00:00Z,1016.858,10.519,2.86
2018-01-09T12:00:00Z,1017.223,10.492,3.05
2018-01-09T13:00:00Z,1017.792,10.71,2.67
2018-01-09T14:00:00Z,1018.569,10.745,3.69
2018-01-09T15:00:00Z,1018.781,10.566,3.02
2018-01-09T16:00:00Z,1018.483,10.15,2.66
2018-01-09T17:00:00Z,1018,10.085,2.61
2018-01-09T18:00:00Z,1018.245,9.427,2.57
2018-01-09T19:00:00Z,1018.785,8.796,2.87
2018-01-09T20:00:00Z,1019.727,8.529,2.54
2018-01-09T21:00:00Z,1020.611,8.646,2.17
2018-01-09T22:00:00Z,1021.651,8.776,2.26
2018-01-09T23:00:00Z,1022.786,8.295,2.33
2018-01-10T00:00:00Z,1023.811,8.454,2.32
2018-01-10T01:00:00Z,1024.657,8.3,1.85
2018-01-10T02:00:00Z,1025.356,8.76,2.18
2018-01-10T03:00:00Z,1026.352,9.266,2.01
2018-01-10T04:00:00Z,1026.71,8.351,1.85
2018-01-10T05:00:00Z,1026.948,8.044,1.83
2018-01-10T06:00:00Z,1027.469,6.955,1.79
2018-01-10T07:00:00Z,1028.081,6.897,2.09
2018-01-10T08:00:00Z,1028.458,5.496,1.75
2018-01-10T09:00:00Z,1029.132,4.861,1.56
2018-01-10T10:00:00Z,1030.057,3.865,1.46
2018-01-10T11:00:00Z,1030.869,2.489,1.28
2018-01-10T12:00:00Z,1031.616,2.128,1.23
2018-01-10T13:00:00Z,1032.26,1.759,1.17
2018-01-10T14:00:00Z,1032.738,2.241,1.03
2018-01-10T15:00:00Z,1032.344,3.477,0.88
2018-01-10T16:00:00Z,1031.594,3.581,0.73
2018-01-10T17:00:00Z,1030.996,4.005,0.67
2018-01-10T18:00:00Z,1030.701,3.651,0.75
2018-01-10T19:00:00Z,1030.938,3.847,0.55
2018-01-10T20:00:00Z,1031.383,4.52,0.61
2018-01-10T21:00:00Z,1031.743,4.336,0.59
2018-01-10T22:00:00Z,1031.801,4.648,0.56
2018-01-10T23:00:00Z,1031.676,5.016,0.6
2018-01-11T00:00:00Z,1032.273,4.544,0.59
2018-01-11T01:00:00Z,1032.294,4.482,0.57
2018-01-11T02:00:00Z,1032.083,4.73,0.57
2018-01-11T03:00:00Z,1031.738,5.16,0.63
2018-01-11T04:00:00Z,1031.044,5.917,0.63
2018-01-11T05:00:00Z,1030.648,5.534,0.62
2018-01-11T06:00:00Z,1030.425,5.761,0.72
2018-01-11T07:00:00Z,1030.289,5.99,0.76
2018-01-11T08:00:00Z,1029.884,5.934,0.66
2018-01-11T09:00:00Z,1029.677,6.099,0.75
2018-01-11T10:00:00Z,1029.734,5.999,0.69
2018-01-11T11:00:00Z,1029.676,7.427,0.75
2018-01-11T12:00:00Z,1029.686,7.686,1.06
2018-01-11T13:00:00Z,1030.198,7.273,1.23
2018-01-11T14:00:00Z,1030.996,6.832,1.11
2018-01-11T15:00:00Z,1031.044,6.636,1.38
2018-01-11T16:00:00Z,1030.356,6.413,0.98
2018-01-11T17:00:00Z,1029.547,6.23,1.14
2018-01-11T18:00:00Z,1029.124,5.413,1.02
2018-01-11T19:00:00Z,1029.032,5.176,0.96
2018-01-11T20:00:00Z,1029.303,4.369,0.86
2018-01-11T21:00:00Z,1029.214,4.044,0.89
2018-01-11T22:00:00Z,1028.91,3.794,0.88
2018-01-11T23:00:00Z,1028.723,4.801,0.77
2018-01-12T00:00:00Z,1028.266,5.326,0.82
2018-01-12T01:00:00Z,1027.572,6.08,0.77
2018-01-12T02:00:00Z,1027.128,6.22,0.83
2018-01-12T03:00:00Z,1026.365,6.528,0.85
2018-01-12T04:00:00Z,1025.223,7.118,0.86
2018-01-12T05:00:00Z,1024.434,7.411,0.93
2018-01-12T06:00:00Z,1024.152,6.559,0.83
2018-01-12T07:00:00Z,1023.665,6.719,0.84
2018-01-12T08:00:00Z,1022.777,6.889,0.87
2018-01-12T09:00:00Z,1022.244,7.071,0.93
2018-01-12T10:00:00Z,1021.807,7.448,0.89
2018-01-12T11:00:00Z,1021.348,7.626,1.08
2018-01-12T12:00:00Z,1020.855,7.155,0.93
