date,Washington Chl-a,Washington Nitrate,Irminger Chl-a,Irminger Nitrate
2018-05-04 10:00:00,,,,
2018-05-04 12:00:00,,,,
2018-05-04 14:00:00,,,,
2018-05-04 16:00:00,,,,
2018-05-04 18:00:00,,,,
2018-05-04 20:00:00,,,,
2018-05-04 22:00:00,,,,
2018-05-05 00:00:00,,,,
2018-05-05 02:00:00,,,,
2018-05-05 04:00:00,,,,
2018-05-05 06:00:00,,,,
2018-05-05 08:00:00,,,,
2018-05-05 10:00:00,,,,
2018-05-05 12:00:00,,,,
2018-05-05 14:00:00,,,,
2018-05-05 16:00:00,,,,
2018-05-05 18:00:00,,,,
2018-05-05 20:00:00,,,,
2018-05-05 22:00:00,,,,
2018-05-06 00:00:00,,,,
2018-05-06 02:00:00,,,,
2018-05-06 04:00:00,,,,
2018-05-06 06:00:00,,,,
2018-05-06 08:00:00,,,,
2018-05-06 10:00:00,,,,
2018-05-06 12:00:00,,,,
2018-05-06 14:00:00,,,,
2018-05-06 16:00:00,,,,
2018-05-06 18:00:00,,,,
2018-05-06 20:00:00,,,,
2018-05-06 22:00:00,,,,
2018-05-07 00:00:00,,,,
2018-05-07 02:00:00,,,,
2018-05-07 04:00:00,,,,
2018-05-07 06:00:00,,,,
2018-05-07 08:00:00,,,,
2018-05-07 10:00:00,,,,
2018-05-07 12:00:00,,,,
2018-05-07 14:00:00,,,,
2018-05-07 16:00:00,,,,
2018-05-07 18:00:00,,,,
2018-05-07 20:00:00,,,,
2018-05-07 22:00:00,,,,
2018-05-08 00:00:00,,,,
2018-05-08 02:00:00,,,,
2018-05-08 04:00:00,,,,
2018-05-08 06:00:00,,,,
2018-05-08 08:00:00,,,,
2018-05-08 10:00:00,,,,
2018-05-08 12:00:00,,,,
2018-05-08 14:00:00,,,,
2018-05-08 16:00:00,,,,
2018-05-08 18:00:00,,,,
2018-05-08 20:00:00,,,,
2018-05-08 22:00:00,,,,
2018-05-09 00:00:00,,,,
2018-05-09 02:00:00,,,,
2018-05-09 04:00:00,,,,
2018-05-09 06:00:00,,,,
2018-05-09 08:00:00,,,,
2018-05-09 10:00:00,,,,
2018-05-09 12:00:00,,,,
2018-05-09 14:00:00,,,,
2018-05-09 16:00:00,0.242,1.601,1.076,8.385
2018-05-09 18:00:00,0.238,1.551,0.566,8.407
2018-05-09 20:00:00,0.298,0.895,1.057,8.335
2018-05-09 22:00:00,0.339,1.059,2.030,8.315
2018-05-10 00:00:00,0.345,1.417,1.088,8.380
2018-05-10 02:00:00,0.405,1.449,1.000,8.483
2018-05-10 04:00:00,0.309,1.585,2.293,8.564
2018-05-10 06:00:00,0.290,1.335,2.457,8.494
2018-05-10 08:00:00,0.284,2.074,1.825,8.492
2018-05-10 10:00:00,0.248,2.718,1.597,8.463
2018-05-10 12:00:00,0.272,3.194,1.422,8.371
2018-05-10 14:00:00,0.254,3.301,0.878,8.307
2018-05-10 16:00:00,0.157,3.653,0.807,8.328
2018-05-10 18:00:00,0.234,3.716,0.484,8.383
2018-05-10 20:00:00,0.212,3.675,0.433,8.337
2018-05-10 22:00:00,0.236,3.676,0.380,8.311
2018-05-11 00:00:00,0.296,3.732,0.445,8.341
2018-05-11 02:00:00,0.248,3.761,0.562,8.360
2018-05-11 04:00:00,0.248,3.726,0.667,8.262
2018-05-11 06:00:00,0.236,3.663,0.626,8.194
2018-05-11 08:00:00,0.363,3.919,0.649,8.093
2018-05-11 10:00:00,0.333,3.860,0.603,8.003
2018-05-11 12:00:00,0.303,3.741,0.597,7.923
2018-05-11 14:00:00,0.309,3.787,0.544,7.798
2018-05-11 16:00:00,0.327,3.867,0.573,7.724
2018-05-11 18:00:00,0.448,3.916,1.018,7.714
2018-05-11 20:00:00,0.379,3.877,0.839,7.642
2018-05-11 22:00:00,0.375,3.865,0.591,7.618
2018-05-12 00:00:00,0.460,4.051,0.579,7.933
2018-05-12 02:00:00,0.520,4.080,0.573,7.945
2018-05-12 04:00:00,0.545,4.117,0.720,8.301
2018-05-12 06:00:00,0.678,4.147,0.562,8.188
2018-05-12 08:00:00,0.780,4.060,0.538,8.028
2018-05-12 10:00:00,2.196,4.646,0.532,7.864
2018-05-12 12:00:00,0.871,4.074,0.603,7.751
2018-05-12 14:00:00,0.889,4.128,0.690,7.863
2018-05-12 16:00:00,0.877,4.162,0.725,8.308
2018-05-12 18:00:00,0.661,4.182,0.597,8.379
2018-05-12 20:00:00,0.710,4.408,0.351,8.418
2018-05-12 22:00:00,1.125,4.532,0.222,8.387
2018-05-13 00:00:00,1.107,4.185,0.176,8.347
2018-05-13 02:00:00,0.738,4.517,0.176,8.329
2018-05-13 04:00:00,0.684,4.520,0.170,8.224
2018-05-13 06:00:00,0.895,4.441,0.193,8.146
2018-05-13 08:00:00,0.877,4.708,0.187,8.132
2018-05-13 10:00:00,1.676,4.689,0.187,8.120
2018-05-13 12:00:00,1.004,4.570,0.181,8.273
2018-05-13 14:00:00,1.065,4.556,0.111,8.350
2018-05-13 16:00:00,0.545,4.631,0.088,8.361
2018-05-13 18:00:00,0.551,4.576,0.082,8.399
2018-05-13 20:00:00,0.436,4.642,0.086,8.324
2018-05-13 22:00:00,0.696,4.539,0.076,8.340
2018-05-14 00:00:00,0.647,4.557,0.152,8.276
2018-05-14 02:00:00,0.732,4.447,0.187,8.254
2018-05-14 04:00:00,0.865,4.507,0.176,8.225
2018-05-14 06:00:00,0.859,4.488,0.152,8.321
2018-05-14 08:00:00,0.829,4.445,0.164,8.401
2018-05-14 10:00:00,0.575,4.210,0.152,8.339
2018-05-14 12:00:00,0.557,4.105,0.193,8.372
2018-05-14 14:00:00,0.532,4.336,0.316,7.940
2018-05-14 16:00:00,0.526,4.298,0.456,7.540
2018-05-14 18:00:00,0.347,4.283,0.644,7.706
2018-05-14 20:00:00,0.286,4.331,0.273,8.082
2018-05-14 22:00:00,0.424,4.246,0.152,8.269
2018-05-15 00:00:00,0.720,4.335,0.158,7.886
2018-05-15 02:00:00,0.635,4.345,0.140,8.025
2018-05-15 04:00:00,0.629,4.281,0.140,7.183
