time,temperature01,temperature14,temperature15,Eq Count,Eq Magnitude
2019-05-04,4.3758364,3.3254285,3.0215764,60,0.6088333333333333
2019-05-05,4.208675,3.238313,3.0412846,139,0.6287769784172664
2019-05-06,4.212742,3.310652,3.0921338,69,0.7334782608695652
2019-05-07,4.145258,3.2350283,2.9715488,10,0.7070000000000001
2019-05-08,4.1206484,3.2057712,3.0353615,0,
2019-05-09,4.227708,3.1655385,2.8738937,134,0.7619402985074624
2019-05-10,4.1667404,3.30423,3.0389488,27,0.681111111111111
2019-05-11,4.03945,3.0437229,2.8054187,26,1.0384615384615383
2019-05-12,4.244011,3.0673475,2.850655,2,0.535
2019-05-13,4.009512,3.1080456,2.8419893,0,
2019-05-14,4.4892864,3.3224945,2.9943738,3,0.9733333333333335
2019-05-15,4.017586,2.828987,2.5963075,6,0.7783333333333333
2019-05-16,,,,0,
2019-05-17,,,,0,
2019-05-18,,,,0,
2019-05-19,,,,10,1.022
2019-05-20,,,,2,0.7050000000000001
2019-05-21,,,,2,0.63
2019-05-22,,,,1,0.44
2019-05-23,,,,0,
2019-05-24,,,,2,0.57
2019-05-25,,,,5,0.578
2019-05-26,,,,0,
2019-05-27,,,,0,
2019-05-28,,,,15,0.6246666666666666
2019-05-29,,,,2,0.5700000000000001
2019-05-30,,,,9,0.9144444444444445
2019-05-31,,,,5,0.47000000000000003
2019-06-01,,,,2,0.38
