time,Pressure (psi),Depth (m),Temperature
2015-03-17 12:00,2252.9278,1509.9219,2.8466319
2015-03-17 12:15,2252.9623,1509.9211,2.8490275
2015-03-17 12:30,2253.0128,1509.9192,2.8494398
2015-03-17 12:45,2253.0768,1509.9153,2.8498209
2015-03-17 13:00,2253.1595,1509.9136,2.8500287
2015-03-17 13:15,2253.2513,1509.9084,2.8484039
2015-03-17 13:30,2253.3671,1509.9108,2.8466576
2015-03-17 13:45,2253.4874,1509.9089,2.8494659
2015-03-17 14:00,2253.6219,1509.9107,2.8530405
2015-03-17 14:15,2253.7499,1509.9035,2.8593971
2015-03-17 14:30,2253.8865,1509.8991,2.8540096
2015-03-17 14:45,2254.0343,1509.901,2.846129
2015-03-17 15:00,2254.1828,1509.9034,2.8408638
2015-03-17 15:15,2254.3189,1509.8993,2.8395454
2015-03-17 15:30,2254.4576,1509.9004,2.8390167
2015-03-17 15:45,2254.5875,1509.9006,2.8390078
2015-03-17 16:00,2254.7082,1509.9012,2.8393371
2015-03-17 16:15,2254.8138,1509.8997,2.8387216
2015-03-17 16:30,2254.9092,1509.9007,2.8394969
2015-03-17 16:45,2254.9783,1509.8947,2.8451726
2015-03-17 17:00,2255.0345,1509.8921,2.8532233
2015-03-17 17:15,2255.0804,1509.8952,2.8528332
2015-03-17 17:30,2255.1042,1509.8974,2.8459285
2015-03-17 17:45,2255.1019,1509.8962,2.8390925
2015-03-17 18:00,2255.0721,1509.8914,2.841211
2015-03-17 18:15,2255.0268,1509.8909,2.855347
2015-03-17 18:30,2254.9592,1509.8902,2.8628084
2015-03-17 18:45,2254.8712,1509.8903,2.8574996
2015-03-17 19:00,2254.7651,1509.8919,2.8469122
2015-03-17 19:15,2254.6371,1509.8917,2.843163
2015-03-17 19:30,2254.4986,1509.8962,2.8443276
2015-03-17 19:45,2254.3389,1509.897,2.8452054
2015-03-17 20:00,2254.1594,1509.8935,2.8426176
2015-03-17 20:15,2253.9798,1509.8973,2.8487159
2015-03-17 20:30,2253.7877,1509.8983,2.8584703
2015-03-17 20:45,2253.5862,1509.897,2.8682824
2015-03-17 21:00,2253.387,1509.8992,2.8591442
2015-03-17 21:15,2253.188,1509.9017,2.8497937
2015-03-17 21:30,2252.9836,1509.8987,2.8424841
2015-03-17 21:45,2252.789,1509.8986,2.8368735
2015-03-17 22:00,2252.5997,1509.8968,2.8327099
2015-03-17 22:15,2252.4258,1509.8982,2.830717
2015-03-17 22:30,2252.2604,1509.8964,2.8302672
2015-03-17 22:45,2252.1169,1509.899,2.8313652
2015-03-17 23:00,2251.9867,1509.899,2.8341276
2015-03-17 23:15,2251.8765,1509.8993,2.8371807
2015-03-17 23:30,2251.7939,1509.904,2.8397791
2015-03-17 23:45,2251.7255,1509.9034,2.8401839
2015-03-18 00:00,2251.6886,1509.9083,2.8423921
2015-03-18 00:15,2251.6668,1509.9072,2.8441129
2015-03-18 00:30,2251.6671,1509.9046,2.8453438
2015-03-18 00:45,2251.6906,1509.9012,2.8467407
2015-03-18 01:00,2251.7506,1509.9063,2.8453334
2015-03-18 01:15,2251.8236,1509.9047,2.8413906
2015-03-18 01:30,2251.9205,1509.9045,2.8384958
2015-03-18 01:45,2252.0375,1509.9042,2.83692
2015-03-18 02:00,2252.1685,1509.9009,2.83594
2015-03-18 02:15,2252.3223,1509.9018,2.8348346
2015-03-18 02:30,2252.4887,1509.9018,2.8332227
2015-03-18 02:45,2252.6703,1509.9044,2.8328294
2015-03-18 03:00,2252.8593,1509.9059,2.8349586
2015-03-18 03:15,2253.055,1509.908,2.8421007
2015-03-18 03:30,2253.2482,1509.9061,2.8442198
2015-03-18 03:45,2253.445,1509.9065,2.8474341
2015-03-18 04:00,2253.6391,1509.9066,2.8484273
2015-03-18 04:15,2253.8229,1509.9034,2.849378
2015-03-18 04:30,2254.0081,1509.9065,2.8645157
2015-03-18 04:45,2254.1716,1509.9022,2.8723326
2015-03-18 05:00,2254.3287,1509.9023,2.8583979
2015-03-18 05:15,2254.4688,1509.9012,2.8469138
2015-03-18 05:30,2254.593,1509.9011,2.8408188
2015-03-18 05:45,2254.6959,1509.8995,2.837158
2015-03-18 06:00,2254.784,1509.902,2.8372922
2015-03-18 06:15,2254.8433,1509.8997,2.8424043
2015-03-18 06:30,2254.8787,1509.8966,2.8450542
2015-03-18 06:45,2254.8962,1509.897,2.8463587
2015-03-18 07:00,2254.888,1509.8955,2.8485352
2015-03-18 07:15,2254.8605,1509.8965,2.8467538
2015-03-18 07:30,2254.8053,1509.8936,2.843228
2015-03-18 07:45,2254.7279,1509.8898,2.8398125
2015-03-18 08:00,2254.6345,1509.8882,2.8374571
2015-03-18 08:15,2254.5302,1509.8909,2.8360654
2015-03-18 08:30,2254.4015,1509.8875,2.8349018
2015-03-18 08:45,2254.2598,1509.884,2.8337305
2015-03-18 09:00,2254.1165,1509.8865,2.8326079
2015-03-18 09:15,2253.958,1509.8837,2.8328176
2015-03-18 09:30,2253.8033,1509.8868,2.8339212
2015-03-18 09:45,2253.6479,1509.8906,2.8350468
2015-03-18 10:00,2253.4903,1509.8924,2.8361243
2015-03-18 10:15,2253.3299,1509.8897,2.8343622
2015-03-18 10:30,2253.1844,1509.8926,2.832245
2015-03-18 10:45,2253.0433,1509.8923,2.8329261
2015-03-18 11:00,2252.9115,1509.8904,2.8347139
2015-03-18 11:15,2252.7982,1509.8915,2.8367486
2015-03-18 11:30,2252.6946,1509.8882,2.8337455
2015-03-18 11:45,2252.6168,1509.8901,2.831389
2015-03-18 12:00,2252.5525,1509.888,2.8304725
2015-03-18 12:15,2252.5123,1509.8879,2.8317022
2015-03-18 12:30,2252.4931,1509.8875,2.834222
2015-03-18 12:45,2252.4955,1509.8865,2.8345214
2015-03-18 13:00,2252.5245,1509.8882,2.8357494
2015-03-18 13:15,2252.5679,1509.8849,2.8455984
2015-03-18 13:30,2252.6316,1509.8807,2.8624598
2015-03-18 13:45,2252.7183,1509.8782,2.8648889
2015-03-18 14:00,2252.8212,1509.8739,2.8649061
2015-03-18 14:15,2252.945,1509.8721,2.8603512
2015-03-18 14:30,2253.0839,1509.8701,2.8498506
2015-03-18 14:45,2253.2365,1509.8688,2.8459297
2015-03-18 15:00,2253.3934,1509.8636,2.8494355
2015-03-18 15:15,2253.5681,1509.8651,2.853485
2015-03-18 15:30,2253.7519,1509.8695,2.8521608
2015-03-18 15:45,2253.927,1509.8668,2.8460804
2015-03-18 16:00,2254.0967,1509.8613,2.8396634
2015-03-18 16:15,2254.2748,1509.864,2.8362512
2015-03-18 16:30,2254.4357,1509.8598,2.834133
2015-03-18 16:45,2254.598,1509.8631,2.8354138
2015-03-18 17:00,2254.7373,1509.8593,2.8402428
2015-03-18 17:15,2254.8682,1509.86,2.8435237
2015-03-18 17:30,2254.9895,1509.8659,2.851778
2015-03-18 17:45,2255.0699,1509.8575,2.8665757
2015-03-18 18:00,2255.1458,1509.8607,2.8685396
2015-03-18 18:15,2255.196,1509.8622,2.8588042
2015-03-18 18:30,2255.2113,1509.8566,2.8502509
2015-03-18 18:45,2255.214,1509.8597,2.8477757
2015-03-18 19:00,2255.1837,1509.858,2.8476445
2015-03-18 19:15,2255.1272,1509.8559,2.845375
2015-03-18 19:30,2255.0561,1509.8612,2.843681
2015-03-18 19:45,2254.956,1509.8634,2.8432926
2015-03-18 20:00,2254.8287,1509.8629,2.8430541
2015-03-18 20:15,2254.6804,1509.8628,2.8441728
2015-03-18 20:30,2254.5121,1509.8622,2.848651
2015-03-18 20:45,2254.3323,1509.8652,2.8567339
2015-03-18 21:00,2254.1239,1509.8587,2.8572458
2015-03-18 21:15,2253.9251,1509.8661,2.8474974
2015-03-18 21:30,2253.6998,1509.8614,2.8421338
2015-03-18 21:45,2253.492,1509.8716,2.8394001
2015-03-18 22:00,2253.2658,1509.8709,2.8371146
2015-03-18 22:15,2253.0378,1509.8679,2.8355449
2015-03-18 22:30,2252.8324,1509.8769,2.8346138
2015-03-18 22:45,2252.6305,1509.883,2.8336603
2015-03-18 23:00,2252.4371,1509.8875,2.8326119
2015-03-18 23:15,2252.2555,1509.8908,2.8318419
2015-03-18 23:30,2252.0861,1509.891,2.8312318
2015-03-18 23:45,2251.9308,1509.8879,2.8303233
2015-03-19 00:00,2251.8071,1509.8914,2.8304425
2015-03-19 00:15,2251.708,1509.896,2.8305166
2015-03-19 00:30,2251.6292,1509.8972,2.829322
2015-03-19 00:45,2251.569,1509.8931,2.8286268
2015-03-19 01:00,2251.5485,1509.8972,2.8275007
2015-03-19 01:15,2251.5529,1509.8995,2.8288627
2015-03-19 01:30,2251.5838,1509.9006,2.8333368
2015-03-19 01:45,2251.6345,1509.8967,2.838048
2015-03-19 02:00,2251.7177,1509.8967,2.8421377
2015-03-19 02:15,2251.8178,1509.8911,2.8599556
2015-03-19 02:30,2251.9557,1509.895,2.8673168
2015-03-19 02:45,2252.1071,1509.8937,2.8558302
2015-03-19 03:00,2252.2807,1509.8944,2.8465731
2015-03-19 03:15,2252.467,1509.8928,2.8454016
2015-03-19 03:30,2252.6692,1509.8928,2.8473307
2015-03-19 03:45,2252.8771,1509.8901,2.8442068
2015-03-19 04:00,2253.1044,1509.8956,2.839836
2015-03-19 04:15,2253.3254,1509.8944,2.8345217
2015-03-19 04:30,2253.5513,1509.8964,2.8313206
2015-03-19 04:45,2253.764,1509.8915,2.8307255
2015-03-19 05:00,2253.9807,1509.8935,2.8326426
2015-03-19 05:15,2254.182,1509.8916,2.8360688
2015-03-19 05:30,2254.3747,1509.8921,2.8412849
2015-03-19 05:45,2254.5434,1509.887,2.8443017
2015-03-19 06:00,2254.6994,1509.8854,2.8452097
2015-03-19 06:15,2254.8295,1509.88,2.8449932
2015-03-19 06:30,2254.9448,1509.8798,2.8482132
2015-03-19 06:45,2255.0349,1509.8789,2.8591454
2015-03-19 07:00,2255.1061,1509.8824,2.8681704
2015-03-19 07:15,2255.1429,1509.8807,2.8619122
2015-03-19 07:30,2255.1517,1509.8785,2.8496419
2015-03-19 07:45,2255.1373,1509.8788,2.8417817
2015-03-19 08:00,2255.0943,1509.8779,2.8400084
2015-03-19 08:15,2255.0274,1509.8783,2.8423397
2015-03-19 08:30,2254.9361,1509.8787,2.8446305
2015-03-19 08:45,2254.8168,1509.8757,2.8497466
2015-03-19 09:00,2254.6819,1509.8761,2.8660761
2015-03-19 09:15,2254.525,1509.8738,2.8611061
2015-03-19 09:30,2254.3571,1509.8747,2.8488384
2015-03-19 09:45,2254.1642,1509.8669,2.8416749
2015-03-19 10:00,2253.9741,1509.8674,2.8372396
2015-03-19 10:15,2253.7851,1509.8725,2.8350658
2015-03-19 10:30,2253.5803,1509.8689,2.8341833
2015-03-19 10:45,2253.388,1509.8732,2.8327653
2015-03-19 11:00,2253.1873,1509.8691,2.8323629
2015-03-19 11:15,2253.0066,1509.8735,2.8327597
2015-03-19 11:30,2252.8322,1509.8751,2.8328008
2015-03-19 11:45,2252.6696,1509.8756,2.8359438
2015-03-19 12:00,2252.5175,1509.8723,2.8400432
2015-03-19 12:15,2252.391,1509.8736,2.8485958
2015-03-19 12:30,2252.2869,1509.8758,2.8627604
2015-03-19 12:45,2252.1975,1509.8725,2.8703691
2015-03-19 13:00,2252.1362,1509.8715,2.8667905
2015-03-19 13:15,2252.0968,1509.868,2.8634708
2015-03-19 13:30,2252.0952,1509.8722,2.8613324
2015-03-19 13:45,2252.1071,1509.8675,2.8615593
2015-03-19 14:00,2252.1509,1509.8664,2.8638111
2015-03-19 14:15,2252.2183,1509.8639,2.8612582
2015-03-19 14:30,2252.3078,1509.8597,2.856129
2015-03-19 14:45,2252.4219,1509.8565,2.8529854
2015-03-19 15:00,2252.5654,1509.8589,2.8495399
2015-03-19 15:15,2252.7121,1509.8508,2.8483602
2015-03-19 15:30,2252.8872,1509.851,2.8524299
2015-03-19 15:45,2253.0884,1509.8599,2.8609887
2015-03-19 16:00,2253.2869,1509.8602,2.8638187
2015-03-19 16:15,2253.4744,1509.8485,2.8612644
2015-03-19 16:30,2253.6889,1509.8525,2.8535805
2015-03-19 16:45,2253.8971,1509.852,2.847473
2015-03-19 17:00,2254.1135,1509.8593,2.8457332
2015-03-19 17:15,2254.3019,1509.8523,2.8434389
2015-03-19 17:30,2254.49,1509.8515,2.8410381
2015-03-19 17:45,2254.6696,1509.8537,2.8397635
2015-03-19 18:00,2254.8294,1509.8534,2.8413432
2015-03-19 18:15,2254.9738,1509.8553,2.8431457
2015-03-19 18:30,2255.0873,1509.8506,2.8443716
2015-03-19 18:45,2255.1891,1509.8539,2.850963
2015-03-19 19:00,2255.263,1509.8555,2.8515327
2015-03-19 19:15,2255.3057,1509.8543,2.8509905
2015-03-19 19:30,2255.3222,1509.8542,2.8563261
2015-03-19 19:45,2255.3172,1509.859,2.8604247
2015-03-19 20:00,2255.2727,1509.8565,2.8618372
2015-03-19 20:15,2255.2022,1509.8557,2.862033
2015-03-19 20:30,2255.104,1509.8547,2.8575048
2015-03-19 20:45,2254.9852,1509.8575,2.8576142
2015-03-19 21:00,2254.8412,1509.8597,2.857917
2015-03-19 21:15,2254.672,1509.8598,2.8588339
2015-03-19 21:30,2254.4832,1509.8599,2.8620216
2015-03-19 21:45,2254.2779,1509.86,2.8613475
2015-03-19 22:00,2254.0613,1509.8616,2.8593796
2015-03-19 22:15,2253.8379,1509.8652,2.8609362
2015-03-19 22:30,2253.6007,1509.864,2.8530415
2015-03-19 22:45,2253.3703,1509.8692,2.8466406
2015-03-19 23:00,2253.1317,1509.8684,2.8440042
2015-03-19 23:15,2252.9012,1509.8703,2.8419715
2015-03-19 23:30,2252.685,1509.8763,2.8404638
2015-03-19 23:45,2252.4743,1509.8787,2.8401223
2015-03-20 00:00,2252.2747,1509.8785,2.8407377
2015-03-20 00:15,2252.0984,1509.8822,2.8415965
2015-03-20 00:30,2251.9372,1509.8824,2.8424168
2015-03-20 00:45,2251.7952,1509.8797,2.846132
2015-03-20 01:00,2251.6881,1509.8835,2.8605807
2015-03-20 01:15,2251.6012,1509.8825,2.881391
