time,30m Temp, 90m Temp, 350m Temp, 1000m Temp, 30m Density, 90m Density, 350m Density, 1000m Density, 30m Potential Density, 90m Potential Density, 350m Potential Density, 1000m Potential Density, Model Wind Speed, Model Air Temp
2016-02-28,3.6373770056114645,3.6364181688824173,3.6124614238681314,3.5148832097644953,1027.9035258676377,1028.1927836390666,1029.414056596135,1032.4316638945766,1027.741775333812,1027.7480284012513,1027.747175361211,1027.748479799334,12.057725,1.4249573
2016-03-06,3.6293432742050453,3.6255495789586196,3.5976332733076695,3.5412050268063435,1027.8928317426855,1028.1818661542757,1029.403418840888,1032.4208092360398,1027.7428683711573,1027.748935422635,1027.7480899280622,1027.7495404911244,11.666865,1.3753662
2016-03-13,3.5782710758837872,3.580270967930738,3.5839224902733187,3.5525651488594807,1027.8996043438588,1028.1884457038886,1029.4094641525398,1032.4267998374467,1027.7442183478672,1027.7500517521885,1027.7488323442847,1027.7509579856037,12.987437,0.25427246
2016-03-20,3.704067284622726,3.6954936750268965,3.6037402418056113,3.550283127854195,1027.9001666468237,1028.1904719369247,1029.4170880094664,1032.43576478126,1027.738275953046,1027.7457042034441,1027.7498249897149,1027.7534675920801,11.914239,2.1986694
2016-03-27,3.7679095990290654,3.745858667816004,3.6143830416371108,3.534409611812618,1027.899761012808,1028.189581122072,1029.4182101681301,1032.439095338983,1027.7353202674371,1027.7423288593059,1027.748547249461,1027.7539181620205,8.305681,1.9940186
2016-04-03,3.579371892606695,3.5567206318965128,3.480589969697675,3.4276539576238707,1027.9035276049678,1028.1944413847489,1029.4210381023568,1032.442663638433,1027.737369000707,1027.7450513106799,1027.7486115912513,1027.7530839387318,11.423777,1.9857788
2016-04-10,3.859876462859591,3.832245544028698,3.671707513881805,3.5005427041390016,1027.914976187694,1028.2056455473746,1029.4395889616521,1032.462666581899,1027.7252625050469,1027.7333834814374,1027.7453289878968,1027.7525138952012,12.093378,3.1165466
2016-04-17,3.96774183923602,3.836724910985481,3.661749455756516,3.483889756269965,1027.8986481675977,1028.1971128751024,1029.4321482656046,1032.4574616578477,1027.715856517789,1027.7316150289923,1027.7444997343903,1027.7530247188615,6.387523,4.0011597
2016-04-24,4.015864943584867,3.9167367236878126,3.59262626016859,3.4272898770202533,1027.8686807742004,1028.165353305844,1029.4099143249123,1032.4371627858682,1027.7095831819902,1027.7236215712874,1027.7451152123845,1027.7534902697691,6.598853,3.4863281
2016-05-01,4.329288363182876,4.022495073641298,3.6535185850594716,3.4776241828057826,1027.8261642911511,1028.1531438992413,1029.400504534404,1032.4274581226275,1027.6757092764685,1027.7200558314453,1027.7445713235397,1027.7529496254162,7.85969,4.010681
2016-05-08,4.5855676282740205,4.200639170880865,3.7256516661342247,3.4918196540716187,1027.79714374569,1028.1439389141274,1029.3982589739087,1032.426971950072,1027.6469559016011,1027.711311624484,1027.743124507647,1027.7529429965496,6.16619,3.7054443
2016-05-15,4.8367432250462725,3.9901275922917856,3.6372044844412534,3.442063027146865,1027.764165147982,1028.1512568311668,1029.3997968865112,1032.4281296547788,1027.614674842869,1027.7188243382025,1027.7444665997334,1027.753258142827,8.064158,4.647156
2016-05-22,5.10119806033968,4.209569681600858,3.756333406664825,3.4889538893549847,1027.7378464780547,1028.1346305334898,1029.3929231259876,1032.4264907638974,1027.5890137009753,1027.7036575496,1027.7391662023065,1027.7530827400767,5.78736,5.2125854
2016-05-29,5.433500171925692,4.2315690247635285,3.7650921380650586,3.4980236360212276,1027.7019933859879,1028.1373368900063,1029.3952986611869,1032.4286203816196,1027.5512663719742,1027.7040509804947,1027.7394734001666,1027.75335856596,6.7169147,5.1409607
2016-06-05,5.576923985882084,3.91384193452188,3.6068701432192865,3.4375442540557963,1027.659504103031,1028.1522062860593,1029.399692092766,1032.427771514055,1027.5115088511955,1027.7204430584734,1027.7449039135809,1027.7534688757264,6.0808463,5.996643
2016-06-12,6.021282320241097,4.421618235181415,3.7891213014245446,3.5247181300460433,1027.6061897208315,1028.1296385459204,1029.392294034733,1032.4250984378948,1027.4583868000398,1027.6989215905505,1027.7388515000425,1027.7528249900654,9.480252,7.1297607
2016-06-19,5.93012095039724,4.01568496925371,3.5761497097139703,3.422231413336568,1027.5919522872769,1028.1564745130192,1029.413950826638,1032.4433303220055,1027.4305216160492,1027.7102484875763,1027.7441853604912,1027.7548761458793,7.7861056,5.898987
2016-06-26,6.013584427888175,3.9922512021393124,3.5743554471720786,3.4098209200127902,1027.561708688751,1028.1465408381907,1029.3995915306534,1032.428929287034,1027.4149601832635,1027.7151576028168,1027.744638136377,1027.753940381791,7.0760183,7.347534
