time,Endurance Salinity,Endurance Air Temp,Endurance SST,Endurance Rain,Pioneer Salinity,Pioneer Air Temp,Pioneer SST,Pioneer Rain,Irminger Salinity,Irminger Air Temp,Irminger SST,Irminger Rain
2015-02-26,,,,,,,,,,,,
2015-02-27,,,,,,,,,,,,
2015-02-28,,,,,,,,,,,,
2015-03-01,,,,,,,,,,,,
2015-03-02,,,,,,,,,,,,
2015-03-03,,,,,,,,,,,,
2015-03-04,,,,,,,,,,,,
2015-03-05,,,,,,,,,,,,
2015-03-06,,,,,,,,,,,,
2015-03-07,,,,,,,,,,,,
2015-03-08,,,,,,,,,,,,
2015-03-09,,,,,,,,,,,,
2015-03-10,,,,,,,,,,,,
2015-03-11,,,,,,,,,,,,
2015-03-12,,,,,,,,,,,,
2015-03-13,,,,,,,,,,,,
2015-03-14,,,,,,,,,,,,
2015-03-15,,,,,,,,,,,,
2015-03-16,,,,,,,,,,,,
2015-03-17,,,,,,,,,,,,
2015-03-18,,,,,,,,,,,,
2015-03-19,,,,,,,,,,,,
2015-03-20,,,,,,,,,,,,
2015-03-21,,,,,,,,,,,,
2015-03-22,,,,,,,,,,,,
2015-03-23,,,,,,,,,,,,
2015-03-24,,,,,,,,,,,,
2015-03-25,,,,,,,,,,,,
2015-03-26,,,,,,,,,,,,
2015-03-27,,,,,,,,,,,,
2015-03-28,,,,,,,,,,,,
2015-03-29,,,,,,,,,,,,
2015-03-30,,,,,,,,,,,,
2015-03-31,,,,,,,,,,,,
2015-04-01,,,,,,,,,,,,
2015-04-02,31.68712769,10.542404,12.878951,0.050089285,,,,,,,,
2015-04-03,32.01459195,9.935603,12.376695,8.164072,,,,,,,,
2015-04-04,31.3651385,8.882066,12.337183,2.8431416,,,,,,,,
2015-04-05,,,,,,,,,,,,
2015-04-06,,,,,,,,,,,,
2015-04-07,,,,,,,,,,,,
2015-04-08,31.48357977,10.994469,12.131029,4.343342,,,,,,,,
2015-04-09,31.48567601,10.665975,12.4041,0.2633381,,,,,,,,
2015-04-10,31.09322154,11.658386,12.536577,0.15734673,,,,,,,,
2015-04-11,31.28675423,10.3842325,12.344107,5.67535,,,,,,,,
2015-04-12,31.46349144,10.322699,12.344312,0.5380249,,,,,,,,
2015-04-13,31.90633884,10.302661,12.302487,12.486679,,,,,,,,
2015-04-14,31.4534502,8.590127,12.095388,5.133337,,,,,,,,
2015-04-15,31.33617905,9.65516,12.21099,0.49133968,,,,,,,,
2015-04-16,31.24826781,10.905139,12.223643,0.3146634,,,,,,,,
2015-04-17,31.42337859,12.013206,12.16147,0.33533192,,,,,,,,
2015-04-18,32.18785677,11.246013,11.535455,0.28976393,,,,,,,,
2015-04-19,32.5411074,11.454337,10.811041,0.39066792,,,,,,,,
2015-04-20,32.52513491,11.295426,10.816417,0.33199167,,,,,,,,
2015-04-21,32.44960812,11.377566,10.8691635,0.24028635,,,,,,,,
2015-04-22,32.73308325,10.050515,10.22108,0.25133753,,,,,,,,
2015-04-23,32.64137658,9.435538,10.281981,0.6006694,,,,,,,,
2015-04-24,31.1489146,10.518887,11.395589,1.3373356,,,,,,,,
2015-04-25,30.45454618,10.385382,11.915207,4.8426642,,,,,,,,
2015-04-26,30.34762494,10.354818,11.988104,2.1400099,,,,,,,,
2015-04-27,30.56502173,12.287231,12.002473,0.1973362,,,,,,,,
2015-04-28,30.95125505,11.805353,12.101711,0.92200375,,,,,,,,
2015-04-29,31.53197707,11.444374,11.763029,0.17666626,,,,,,,,
2015-04-30,30.72327597,11.731838,12.370804,0.18133831,,,,,,,,
2015-05-01,31.2628177,11.720966,11.529863,0.14932823,,,,,,,,
2015-05-02,31.88754077,10.825842,10.323883,0.19995117,,,,,,,,
2015-05-03,32.12813513,10.520568,10.082584,0.22333336,,,,,,,,
2015-05-04,31.56075881,10.934925,10.489612,0.29828644,,,,,,,,
2015-05-05,30.63222863,11.531493,11.866298,0.2486744,,,,,,,,
2015-05-06,29.33701613,11.394807,12.661333,1.1813364,,,,,,,,
2015-05-07,30.51323782,11.465053,11.752232,0.20243073,,,,,,,,
2015-05-08,31.51634921,11.089199,10.762198,0.24132824,,,,,,,,
2015-05-09,31.43536984,12.094774,11.287817,0.3126688,33.38078844,12.212486,11.447715,2.031333,,,,
2015-05-10,31.23651125,12.068229,11.608813,0.29466343,33.85928635,13.948958,12.8942995,2.1593335,,,,
2015-05-11,31.22285799,11.879914,11.644338,0.23467731,33.82450108,15.16783,13.56614,2.4353333,,,,
2015-05-12,30.99248493,11.315905,11.964697,7.6880045,33.4234369,14.606996,12.404923,2.4346669,,,,
2015-05-13,29.81284892,10.631592,12.570242,4.031334,33.37279632,12.972122,11.476378,1.4813337,,,,
2015-05-14,29.91490483,12.058494,12.936915,0.30534744,33.34801005,11.725436,11.716335,1.3600006,,,,
