time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-03-10T10:18:07.740Z,40.7191667,-125.2101667,23.945,3.24,ml,50,245,0.8099,0.29,nc,nc72182296,2017-02-03T09:19:44.526Z,"81km WNW of Ferndale, California",earthquake,1.07,14.78,0.203,14,reviewed,nc,nc
2014-03-10T09:57:24.270Z,40.7375,-125.3043333,22.116,2.95,md,45,248,0.8811,0.25,nc,nc72182291,2017-02-03T09:19:37.771Z,"89km WNW of Ferndale, California",earthquake,2.14,10.3,0.129,34,reviewed,nc,nc
2014-03-10T09:56:23.800Z,40.5201667,-125.0406667,1.813,2.65,md,29,289,0.6099,0.24,nc,nc72182286,2017-02-03T09:19:30.320Z,"66km W of Ferndale, California",earthquake,1.74,0.96,0.156,23,reviewed,nc,nc
2014-03-10T09:54:26.110Z,40.8261667,-125.1218333,21.033,3.71,mw,65,240,0.782,0.14,nc,nc72182276,2017-02-03T09:19:10.820Z,"77km WNW of Ferndale, California",earthquake,0.82,2.92,,3,reviewed,nc,nc
2014-03-10T09:42:42.800Z,40.7638333,-125.21,24.055,3.64,mw,70,234,0.8324,0.17,nc,nc72182266,2017-02-03T09:18:57.310Z,"82km WNW of Ferndale, California",earthquake,0.95,8.6,,3,reviewed,nc,nc
2014-03-10T09:41:51.220Z,40.6563333,-125.015,3.654,2.51,md,30,291,0.6495,0.17,nc,nc72182271,2017-02-03T09:18:35.591Z,"64km W of Ferndale, California",earthquake,1.2,1.16,0.213,25,reviewed,nc,nc
2014-03-10T09:36:18.970Z,40.6291667,-125.3566667,24.736,2.69,md,20,287,0.873,0.22,nc,nc72182261,2017-02-03T09:18:30.524Z,"92km W of Ferndale, California",earthquake,1.95,17.25,0.171,14,reviewed,nc,nc
2014-03-10T09:10:52.680Z,40.7295,-125.1543333,24.344,2.62,md,23,273,0.7784,0.13,nc,nc72182246,2017-02-03T09:18:10.976Z,"77km WNW of Ferndale, California",earthquake,0.9,12.6,0.117,16,reviewed,nc,nc
2014-03-10T08:47:33.160Z,40.5825,-125.3051667,23.652,2.84,md,20,285,0.8207,0.23,nc,nc72182221,2017-02-03T09:17:45.664Z,"88km W of Ferndale, California",earthquake,2.53,18.53,0.162,22,reviewed,nc,nc
2014-03-10T08:35:51.740Z,40.7358333,-125.1996667,15.195,2.5,md,14,299,0.8108,0.27,nc,nc72182211,2017-02-03T09:17:34.524Z,"81km WNW of Ferndale, California",earthquake,10.31,14.32,0.108,17,reviewed,nc,nc
2014-03-10T07:49:00.780Z,40.7281667,-125.2223333,23.445,3,ml,56,245,0.8216,0.27,nc,nc72182201,2017-02-03T09:17:18.727Z,"82km WNW of Ferndale, California",earthquake,1.14,10.88,0.139,13,reviewed,nc,nc
2014-03-10T07:44:05.070Z,40.5388333,-125.0658333,0.223,2.72,md,11,330,0.6342,0.12,nc,nc72182191,2017-02-03T09:17:13.090Z,"68km W of Ferndale, California",earthquake,2.26,0.79,0.14,28,reviewed,nc,nc
2014-03-10T07:43:12.440Z,40.4615,-125.2346667,4.231,2.33,md,8,336,0.7387,0.07,nc,nc72182196,2017-02-03T09:17:07.469Z,"83km W of Ferndale, California",earthquake,7.71,6.39,0.153,10,reviewed,nc,nc
2014-03-10T07:37:05.600Z,40.4388333,-125.2541667,4.431,2.91,md,14,322,0.7495,0.16,nc,nc72182186,2017-02-03T09:17:02.462Z,"85km W of Ferndale, California",earthquake,11.38,9.79,0.119,17,reviewed,nc,nc
2014-03-10T07:15:36.100Z,40.6836667,-125.1208333,9.104,2.99,md,26,283,0.7333,0.19,nc,nc72182176,2017-02-03T09:16:47.714Z,"73km W of Ferndale, California",earthquake,3.92,3.7,0.181,36,reviewed,nc,nc
2014-03-10T06:58:44.410Z,40.5678333,-125.0586667,-0.357,2.68,md,30,306,0.6396,0.12,nc,nc72182171,2017-02-03T09:16:41.720Z,"67km W of Ferndale, California",earthquake,1.5,0.64,0.186,26,reviewed,nc,nc
2014-03-10T06:51:19.940Z,40.56,-125.437,19.466,2.93,md,15,296,0.9108,0.19,nc,nc72182166,2017-02-03T09:16:36.606Z,"99km W of Ferndale, California",earthquake,6.64,10.84,0.178,28,reviewed,nc,nc
2014-03-10T06:47:17.650Z,40.521,-125.2426667,20.535,3.03,ml,17,290,0.7577,0.15,nc,nc72182161,2017-02-03T09:16:31.560Z,"83km W of Ferndale, California",earthquake,6.23,8.42,0.2,7,reviewed,nc,nc
2014-03-10T06:41:49.380Z,40.5011667,-125.1023333,0.093,2.78,md,28,278,0.6495,0.18,nc,nc72182156,2017-02-03T09:16:26.313Z,"71km W of Ferndale, California",earthquake,1.13,0.53,0.176,29,reviewed,nc,nc
2014-03-10T06:39:10.120Z,40.7295,-124.8723333,4.394,2.5,md,28,301,0.6063,0.14,nc,nc72182151,2017-02-03T09:16:20.955Z,"54km WNW of Ferndale, California",earthquake,1.09,1.05,0.163,21,reviewed,nc,nc
2014-03-10T06:30:11.050Z,42.6655,-126.916,3.99,2.37,md,8,324,2.042,1.56,uw,uw60714836,2016-07-22T19:25:55.920Z,"off the coast of Oregon",earthquake,19.71,31.61,,1,reviewed,uw,uw
2014-03-10T06:30:03.510Z,40.5523333,-125.1645,10.764,2.55,md,22,320,0.7099,0.27,nc,nc72182146,2017-02-03T09:16:15.468Z,"76km W of Ferndale, California",earthquake,12.21,12.96,0.239,19,reviewed,nc,nc
2014-03-10T06:27:22.210Z,40.6025,-125.0843333,6.839,2.4,md,9,325,0.6712,0.04,nc,nc71081349,2017-02-03T09:16:10.427Z,"69km W of Ferndale, California",earthquake,3.07,3.01,0.393,7,reviewed,nc,nc
2014-03-10T06:26:29.850Z,40.5126667,-125.019,-0.121,2.63,md,27,299,0.5919,0.19,nc,nc72182141,2017-02-03T09:16:00.549Z,"64km W of Ferndale, California",earthquake,1.11,0.81,0.209,18,reviewed,nc,nc
2014-03-10T06:22:45.880Z,40.7188333,-124.9371667,3.154,3.33,ml,23,277,0.6369,0.25,nc,nc72182136,2017-02-03T09:15:54.610Z,"59km WNW of Ferndale, California",earthquake,1.6,1.35,0.137,11,reviewed,nc,nc
2014-03-10T06:21:15.850Z,40.571,-125.3666667,9.532,3.22,ml,33,251,0.8622,0.25,nc,nc72182131,2017-02-03T09:15:49.065Z,"93km W of Ferndale, California",earthquake,2.89,31.61,0.167,13,reviewed,nc,nc
2014-03-10T06:13:07.730Z,40.5936667,-125.33,17.532,2.61,md,14,303,0.8423,0.26,nc,nc72182126,2017-02-03T09:15:43.637Z,"90km W of Ferndale, California",earthquake,1.45,31.61,0.202,19,reviewed,nc,nc
2014-03-10T06:12:23.000Z,40.7231667,-125.2291667,23.695,2.76,ml,28,261,0.8243,0.18,nc,nc72182121,2017-02-03T09:15:38.620Z,"83km WNW of Ferndale, California",earthquake,1.15,12.5,0.104,6,reviewed,nc,nc
2014-03-10T05:57:30.460Z,40.8336667,-125.068,21.587,2.82,md,33,238,0.7865,0.23,nc,nc72182116,2017-02-03T09:15:33.272Z,"73km WNW of Ferndale, California",earthquake,1.92,6.27,0.281,24,reviewed,nc,nc
2014-03-10T05:51:10.900Z,40.6211667,-125.3605,18.726,4.35,ml,73,241,0.873,0.15,nc,nc72182106,2017-03-17T23:10:07.487Z,"92km W of Ferndale, California",earthquake,0.99,3.08,0.168,60,reviewed,nc,nc
2014-03-10T05:43:26.270Z,40.4813333,-125.1076667,1.104,2.93,ml,27,292,0.6477,0.15,nc,nc72182101,2017-02-03T09:15:05.954Z,"72km W of Ferndale, California",earthquake,0.82,0.55,0.113,11,reviewed,nc,nc
2014-03-10T05:41:47.900Z,40.7441667,-125.2091667,24.165,3.03,ml,38,244,0.8216,0.28,nc,nc72182091,2017-02-03T09:15:00.244Z,"82km WNW of Ferndale, California",earthquake,1.71,17.36,0.125,16,reviewed,nc,nc
2014-03-10T05:36:39.520Z,40.574,-125.3506667,17.236,3.79,ml,22,272,0.8514,0.29,nc,nc72182086,2017-02-03T09:14:54.048Z,"92km W of Ferndale, California",earthquake,5.66,7.27,0.194,40,reviewed,nc,nc
2014-03-10T05:32:14.180Z,40.6521667,-125.405,10.696,3.39,ml,38,253,0.9153,0.24,nc,nc72182081,2017-02-03T09:14:47.597Z,"96km W of Ferndale, California",earthquake,2.9,21.36,0.179,19,reviewed,nc,nc
2014-03-10T05:27:40.690Z,40.6583,-125.201,10,4.3,ml,,231,0.904,1.24,us,usc000n68h,2014-05-15T02:24:03.000Z,"79km W of Ferndale, California",earthquake,,2,0.053,48,reviewed,us,us
2014-03-10T05:18:13.430Z,40.8286667,-125.1338333,16.441,6.8,mw,112,229,0.6568,0.15,nc,nc72182046,2017-03-17T23:08:52.821Z,"78km WNW of Ferndale, California",earthquake,0.64,1.88,,5,reviewed,nc,nc
2014-03-10T05:04:12.520Z,40.8141667,-125.1115,22.687,3.07,ml,59,230,0.8,0.15,nc,nc72182031,2017-02-03T09:13:35.360Z,"76km WNW of Ferndale, California",earthquake,1.02,4.88,0.145,17,reviewed,nc,nc
2014-03-07T13:35:09.070Z,43.2966,-126.2403,10,3.1,ml,,256,1.459,1.26,us,usc000n4uu,2014-05-15T02:23:29.000Z,"150km W of Bandon, Oregon",earthquake,,2,0.074,26,reviewed,us,us
2014-03-07T11:25:52.450Z,40.2985,-124.6526667,23.094,2.7,md,25,270,0.282,0.09,nc,nc72180476,2017-02-03T08:47:42.838Z,"45km SW of Ferndale, California",earthquake,0.55,0.68,0.149,28,reviewed,nc,nc
