time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-28T11:07:51.060Z,43.2208,-126.6675,24.41,4.2,mwr,,177,1.745,1.12,us,us10007cww,2017-02-23T00:11:51.040Z,"184km W of Bandon, Oregon",earthquake,6,5.5,0.04,60,reviewed,us,us
2016-11-28T04:34:44.900Z,43.3669,-127.0223,29.85,5.5,mww,,179,2.029,0.89,us,us10007cvf,2017-02-23T00:11:51.040Z,"214km W of Bandon, Oregon",earthquake,6.9,4.3,,,reviewed,us,us
2016-11-26T04:12:47.860Z,41.8441,-125.8857,9.44,3,ml,,261,1.29,0.59,us,us10007d0y,2017-02-23T00:11:48.040Z,"134km W of Brookings, Oregon",earthquake,6.7,9.7,0.066,30,reviewed,us,us
2016-11-25T22:46:52.800Z,40.5498333,-124.766,3.62,2.56,md,21,262,0.3351,0.23,nc,nc72729510,2017-02-11T08:18:06.369Z,"42km W of Ferndale, California",earthquake,2.38,2.33,0.14,14,reviewed,nc,nc
2016-11-24T18:52:45.590Z,40.455,-125.9476667,10.35,3.84,ml,35,275,1.217,0.2,nc,nc72729085,2017-02-15T23:21:39.040Z,"143km W of Ferndale, California",earthquake,5.51,5.62,0.112,5,reviewed,nc,nc
2016-11-16T07:21:05.740Z,40.6401,-127.1228,9.54,3.2,md,,263,2.128,0.97,us,us100079t0,2017-02-11T07:23:47.020Z,"242km W of Ferndale, California",earthquake,10.7,8.3,0.19,27,reviewed,us,nc
2016-11-16T05:06:53.610Z,40.7005,-127.1354,12.59,3.2,ml,,266,2.142,0.66,us,us100078nr,2017-02-11T07:23:36.455Z,"243km W of Ferndale, California",earthquake,11.2,10.1,0.066,30,reviewed,us,us
2016-11-15T17:46:28.250Z,40.5081667,-124.2121667,20.82,3.11,ml,19,69,0.06396,0.13,nc,nc72725765,2017-03-18T00:06:50.984Z,"8km SSE of Ferndale, California",earthquake,0.47,0.38,0.299,19,reviewed,nc,nc
2016-11-15T12:15:33.840Z,40.5088333,-125.162,3.5,2.6,md,17,321,0.6288,0.27,nc,nc72725650,2017-02-11T07:18:27.964Z,"76km W of Ferndale, California",earthquake,3.85,2.93,0.166,17,reviewed,nc,nc
2016-11-14T00:22:38.750Z,40.4038333,-124.49,25.38,2.95,ml,25,250,0.1369,0.16,nc,nc72724660,2017-02-11T07:04:18.392Z,"27km SW of Ferndale, California",earthquake,0.69,0.82,0.19,14,reviewed,nc,nc
2016-11-11T19:11:37.500Z,40.2805,-126.1148333,9.62,2.85,md,9,345,1.37,0.06,nc,nc72723735,2017-02-11T06:51:55.505Z,"160km WSW of Ferndale, California",earthquake,3,31.61,0.171,13,reviewed,nc,nc
2016-11-09T04:39:43.230Z,41.7581667,-124.4556667,27.53,2.52,ml,6,301,0.3406,0.23,uw,uw61214557,2016-11-09T21:46:12.866Z,"21km W of Crescent City, California",earthquake,1.92,3.58,0.224,5,reviewed,uw,uw
2016-11-02T21:14:16.880Z,40.4608333,-124.4223333,25.98,2.55,md,18,234,0.06667,0.08,nc,nc72719500,2017-02-11T05:48:56.701Z,"18km SW of Ferndale, California",earthquake,0.5,0.52,0.16,29,reviewed,nc,nc
2016-11-02T14:52:19.070Z,46.1963333,-124.0156667,37.97,3.55,ml,21,171,0.08564,0.5,uw,uw61227486,2017-01-24T02:02:15.040Z,"7km WNW of Warrenton, Oregon",earthquake,1.49,1.07,0.161,35,reviewed,uw,uw
2016-11-02T10:20:10.260Z,40.3686667,-124.2211667,30.7,2.92,md,20,94,0.06757,0.13,nc,nc72719310,2017-02-11T05:45:50.870Z,"17km SW of Rio Dell, California",earthquake,0.53,0.72,0.111,40,reviewed,nc,nc
2016-10-27T06:37:23.630Z,40.3461667,-124.5465,23.97,4.11,mw,37,233,0.1991,0.17,nc,nc72716540,2017-03-18T00:04:45.901Z,"35km SW of Ferndale, California",earthquake,0.6,0.48,,4,reviewed,nc,nc
2016-10-16T06:32:51.860Z,40.3025,-124.6605,18.41,2.65,md,27,239,0.2883,0.24,nc,nc72713101,2017-02-11T03:47:34.132Z,"45km SW of Ferndale, California",earthquake,1.11,1.07,0.1,19,reviewed,nc,nc
2016-10-15T19:40:40.540Z,40.4738333,-124.2318333,19.97,2.53,md,16,77,0.08018,0.06,nc,nc72712921,2017-02-11T03:44:39.078Z,"11km WSW of Rio Dell, California",earthquake,0.38,0.52,0.139,11,reviewed,nc,nc
2016-10-09T19:08:47.600Z,44.2778,-129.3622,10,5,mww,,166,3.868,0.92,us,us20007cz9,2017-01-07T00:20:48.040Z,Off the coast of Oregon,earthquake,8.3,1.9,,,reviewed,us,us
2016-10-09T18:51:58.870Z,44.3096,-129.1914,10,4.1,mb,,196,3.75,0.87,us,us20007cyw,2017-01-07T00:20:48.040Z,Off the coast of Oregon,earthquake,9.2,2,0.093,32,reviewed,us,us
2016-10-09T14:18:45.260Z,44.8407,-127.953,10,4.5,mb,,98,2.975,1.04,us,us10007rbi,2017-01-07T00:20:47.040Z,Off the coast of Oregon,earthquake,9.6,1.9,0.118,26,reviewed,us,us
2016-10-09T14:18:36.730Z,45.0696,-127.8799,10,4.1,mb,,185,2.922,0.58,us,us20007cy5,2017-01-07T00:20:47.040Z,Off the coast of Oregon,earthquake,5.7,1.9,0.082,41,reviewed,us,us
2016-10-09T11:18:26.570Z,44.339,-128.9446,10,3.4,ml,,264,3.578,1.05,us,us20007cx9,2017-01-07T00:20:47.040Z,Off the coast of Oregon,earthquake,13.3,2,0.062,34,reviewed,us,us
2016-10-01T23:51:28.720Z,40.6763333,-124.2548333,27.4,2.52,md,25,167,0.04144,0.1,nc,nc72706051,2017-02-11T02:13:40.610Z,"7km SW of Humboldt Hill, California",earthquake,0.72,0.73,0.182,30,reviewed,nc,nc
2016-10-01T11:15:00.910Z,40.291,-124.46,16.03,2.51,md,24,246,0.1378,0.27,nc,nc72705836,2017-02-11T02:10:59.215Z,"35km SSW of Ferndale, California",earthquake,1.12,0.68,0.094,25,reviewed,nc,nc
2016-09-29T14:13:00.530Z,40.2815,-124.5656667,19.3,2.79,md,22,263,0.2189,0.1,nc,nc72704526,2017-02-11T02:01:06.810Z,"41km SW of Ferndale, California",earthquake,1.98,0.7,0.239,29,reviewed,nc,nc
2016-09-28T05:20:45.150Z,40.3361667,-124.7535,18.48,2.74,md,28,241,0.3468,0.13,nc,nc72703781,2017-02-11T01:53:44.546Z,"49km WSW of Ferndale, California",earthquake,1.01,0.87,0.189,31,reviewed,nc,nc
2016-09-27T10:25:45.230Z,41.8124,-126.9099,10,2.8,ml,,272,2.039,1.16,us,us10006t4b,2016-12-14T03:17:53.040Z,"216km WSW of Gold Beach, Oregon",earthquake,6.5,2,0.052,48,reviewed,us,us
2016-09-25T09:50:51.190Z,41.8519,-126.0759,15.77,4.6,mb,,191,1.424,1.34,us,us10006sj1,2017-02-11T01:35:43.850Z,"150km W of Brookings, Oregon",earthquake,6.7,6.5,0.097,32,reviewed,us,us
2016-09-25T07:42:07.130Z,41.8298333,-126.4246667,22.99,2.93,ml,22,282,1.68,0.14,nc,nc72702236,2017-02-11T01:34:42.849Z,"177km WSW of Gold Beach, Oregon",earthquake,3.77,31.61,0.159,11,reviewed,nc,nc
2016-09-25T05:01:50.050Z,41.8428,-126.1354,10,4.9,mww,,163,1.465,0.82,us,us10006shx,2017-02-11T01:33:14.310Z,"154km WSW of Gold Beach, Oregon",earthquake,5.7,1.9,,,reviewed,us,us
2016-09-25T00:10:00.730Z,40.403,-125.9491667,25.04,2.91,ml,21,285,1.273,0.25,nc,nc72702061,2017-02-11T01:31:59.579Z,"144km W of Ferndale, California",earthquake,1.88,20.35,0.122,7,reviewed,nc,nc
2016-09-22T10:03:41.750Z,40.2926667,-124.4725,20.75,2.83,md,25,248,0.1468,0.2,nc,nc72700701,2017-02-11T01:16:58.567Z,"36km SSW of Ferndale, California",earthquake,1.2,0.43,0.139,46,reviewed,nc,nc
2016-09-21T05:02:47.810Z,40.6573333,-125.2926667,26.29,2.59,ml,37,262,0.7495,0.19,nc,nc72699991,2017-02-11T01:10:09.159Z,"87km W of Ferndale, California",earthquake,1.17,14.67,0.124,10,reviewed,nc,nc
2016-09-16T01:48:48.920Z,40.3791667,-124.9655,3.24,3,ml,61,234,0.4883,0.27,nc,nc72696581,2017-02-11T00:34:06.290Z,"63km WSW of Ferndale, California",earthquake,0.69,1.14,0.148,18,reviewed,nc,nc
2016-09-12T19:17:26.220Z,41.8268333,-124.3836667,17.53,3.25,ml,9,211,0.1568,0.12,nc,nc72694531,2017-02-11T00:10:29.424Z,"17km WNW of Crescent City, California",earthquake,0.66,0.72,0.171,15,reviewed,nc,nc
2016-09-11T19:10:19.360Z,43.0574,-126.2416,10,3.4,ml,,204,1.412,1.05,us,us10006nvk,2016-12-07T02:56:11.040Z,"146km WNW of Port Orford, Oregon",earthquake,5.1,2,0.042,73,reviewed,us,us
