time,latitude,longitude,depth,mag
2015-04-24T00:09:59Z,45.94893,-130.02337,1.075,0.4
2015-04-24T00:10:35Z,45.96019,-129.99578,1.82,1.6
2015-04-24T00:21:07Z,45.96412,-129.99332,1.675,1
2015-04-24T00:40:01Z,45.96299,-129.99314,1.723,0.6
2015-04-24T00:42:43Z,45.96259,-129.99157,0.919,0.6
2015-04-24T02:58:51Z,45.97574,-129.99721,2.012,0.6
2015-04-24T03:19:08Z,45.94212,-129.98683,0.9,0.5
2015-04-24T03:21:12Z,45.97576,-129.99676,2.476,0.9
2015-04-24T03:34:00Z,45.95099,-130.021,0.983,0.3
2015-04-24T03:48:38Z,45.95767,-129.99101,1.315,0.2
2015-04-24T04:17:04Z,45.959,-130.03035,1.574,1.5
2015-04-24T04:22:45Z,45.97658,-129.99639,2.813,0.7
2015-04-24T04:23:55Z,45.97181,-130.00411,2.48,0.7
2015-04-24T04:25:51Z,45.96984,-129.99123,3.769,0.7
2015-04-24T04:42:40Z,45.975,-129.99596,2.436,0.7
2015-04-24T04:46:51Z,45.97792,-129.99674,2.756,0.9
2015-04-24T04:54:17Z,45.97691,-129.99684,2.599,1.2
2015-04-24T04:58:03Z,45.97499,-129.9947,2.628,0.4
2015-04-24T05:04:05Z,45.97494,-129.99548,2.174,1.5
2015-04-24T05:13:16Z,45.98248,-129.99697,2.639,2
2015-04-24T05:14:32Z,45.9525,-129.98748,0.42,1.3
2015-04-24T05:19:01Z,45.97351,-129.99933,2.623,2
2015-04-24T05:20:12Z,45.97359,-129.99544,2.194,2.1
2015-04-24T05:21:57Z,45.98288,-129.9875,2.127,2.2
2015-04-24T05:25:09Z,45.96049,-129.99479,0.742,1.2
2015-04-24T05:26:52Z,45.96014,-129.99404,1.507,1.9
2015-04-24T05:27:35Z,45.98402,-130.00638,1.957,1.9
2015-04-24T05:27:58Z,45.95772,-129.99348,1.63,1.7
2015-04-24T05:29:23Z,45.95141,-129.99465,0.763,1.2
2015-04-24T05:32:22Z,45.96745,-129.99296,1.815,1.5
2015-04-24T05:32:44Z,45.9511,-129.99455,0.718,1.5
2015-04-24T05:32:53Z,45.96625,-129.99724,2.155,2.5
